feature_name,Score,seed
ALGA0112579_A,934.9999033700086,6331
ALGA0054277_A,905.0992041155107,6331
MARC0092711_A,874.5033809478149,6331
SIRI0001174_A,860.284832076186,6331
INRA0006852_G,848.8408345966988,6331
INRA0005930_G,830.9503450298076,6331
ALGA0122705_A,825.64622162811,6331
ALGA0085890_G,815.1898734177214,6331
DIAS0003663_G,793.1998290611613,6331
ALGA0036406_A,779.8571232779173,6331
MARC0019765_G,772.9591473862693,6331
CASI0010155_C,752.8925646207849,6331
ASGA0090515_A,751.6063165731215,6331
ALGA0086017_A,738.1257557282664,6331
ALGA0105455_A,737.052061374356,6331
ASGA0057646_T,729.1187730010765,6331
INRA0060785_A,728.3972549354708,6331
MARC0019505_T,728.0292105450649,6331
ALGA0117092_G,720.9633185761013,6331
INRA0045115_C,707.1660214919051,6331
MARC0002427_T,703.1867329493355,6331
MARC0042917_G,702.2314720828484,6331
CASI0010487_T,697.6695313803195,6331
MARC0002623_A,696.3593035336818,6331
ALGA0082243_A,693.876007114797,6331
DIAS0003048_G,693.7915572291483,6331
MARC0029854_G,693.3674108570566,6331
ASGA0004899_T,692.7634657291716,6331
ASGA0038761_T,689.8536263563179,6331
ALGA0110589_T,688.5949550205472,6331
ASGA0083296_T,688.1609867462532,6331
ALGA0007772_T,687.2767556578547,6331
MARC0010205_A,687.1710456215781,6331
CASI0009206_C,686.0823520001043,6331
MARC0108858_T,685.9889101566479,6331
DIAS0001612_A,685.8694399531964,6331
ALGA0086564_A,685.1171035796701,6331
H3GA0053551_C,684.9628335240557,6331
INRA0055599_T,679.4909129357784,6331
INRA0061680_A,677.5455460477808,6331
DRGA0011654_C,673.4027710614962,6331
MARC0094093_C,672.9039248306735,6331
ALGA0013970_G,672.3664165849862,6331
H3GA0033852_C,670.1164702847066,6331
ALGA0003988_A,669.57679489468,6331
ASGA0015670_A,666.3335938322438,6331
MARC0052201_T,666.3137897580852,6331
INRA0047159_G,665.2401931417347,6331
DRGA0010883_A,662.5662616486335,6331
MARC0001643_A,658.2402000445227,6331
ALGA0044392_A,656.5593866455224,6331
ALGA0120307_T,656.1467555815213,6331
SIRI0001260_A,656.1467555815213,6331
ALGA0120895_G,654.4584177799965,6331
ALGA0031742_G,652.6553499858097,6331
INRA0045123_A,652.6185840952511,6331
ALGA0007995_T,651.2822930296202,6331
ALGA0006424_T,650.1365129568364,6331
MARC0048160_T,647.7266056468659,6331
MARC0080340_G,646.3098563145438,6331
ASGA0039589_A,646.2465279626732,6331
ASGA0025444_A,646.0011985189798,6331
ALGA0078993_T,645.8635061416458,6331
MARC0084999_G,645.7352007231669,6331
M1GA0025027_A,643.4074187108288,6331
MARC0060134_A,642.9652282723081,6331
ASGA0010385_A,642.4253318502501,6331
INRA0047157_G,642.2451804171629,6331
MARC0108567_T,640.7511597339454,6331
ASGA0014259_C,640.6869110517397,6331
ALGA0111332_C,640.6581600599097,6331
INRA0008855_G,640.6200298256739,6331
ALGA0097196_G,638.0475998962372,6331
ASGA0026779_A,637.071324708748,6331
ASGA0091907_T,636.7306191295066,6331
MARC0104336_C,634.8457921840672,6331
ALGA0005765_T,634.5506009042957,6331
MARC0081975_G,634.2917007829468,6331
INRA0020396_G,633.1794285259381,6331
ALGA0122541_T,632.1118499301092,6331
M1GA0001158_G,631.8857632752756,6331
ALGA0081117_A,631.3122155078397,6331
MARC0099536_A,627.6393572318937,6331
H3GA0003655_C,627.6217665275145,6331
MARC0011936_A,626.6781664384484,6331
ASGA0071443_A,626.4788417484485,6331
INRA0003647_G,625.4935737789933,6331
MARC0012266_A,622.1355545981601,6331
DRGA0005789_C,622.1355545981601,6331
DRGA0005786_T,622.1355545981601,6331
DRGA0005784_T,622.1355545981601,6331
MARC0046863_C,622.1355545981601,6331
INRA0008277_T,621.5222045295794,6331
ALGA0085544_T,620.724144037097,6331
ALGA0005792_A,620.5083351447483,6331
ALGA0013916_G,620.1366153946456,6331
ALGA0007157_G,619.6507205335088,6331
INRA0019276_A,619.5780268227228,6331
MARC0046970_C,619.1581774013915,6331
ALGA0060479_T,616.5969925691279,6331
INRA0048518_C,615.2903032801418,6331
DRGA0007677_G,614.5932721367647,6331
DRGA0005795_C,614.4695583288042,6331
MARC0040505_G,613.5095191327581,6331
INRA0043313_A,613.2427800249119,6331
DRGA0002401_A,612.1779208410168,6331
INRA0008800_C,611.9501176845381,6331
INRA0002881_T,611.4582071538621,6331
INRA0019299_G,611.3899487931789,6331
MARC0013977_G,609.7317123161673,6331
H3GA0054423_T,609.6142914368044,6331
MARC0080822_G,606.2811971831499,6331
ALGA0104874_G,606.053319533125,6331
ALGA0118533_A,605.5255565590252,6331
INRA0003535_G,605.4210753560112,6331
MARC0043071_G,605.3377162970195,6331
INRA0003533_C,605.3125704366774,6331
H3GA0037688_T,605.2617867246134,6331
INRA0006051_C,604.7649099933512,6331
DRGA0011285_T,604.3032459352597,6331
ALGA0035975_G,604.1032699258961,6331
ALGA0106261_C,603.919791349321,6331
MARC0110847_G,603.8305652538023,6331
ASGA0080428_A,602.5733088236321,6331
ASGA0035629_A,600.6210024302511,6331
ALGA0031838_T,600.3088195884392,6331
DRGA0005793_G,599.3298782093029,6331
ALGA0035960_T,598.8825922769876,6331
ASGA0007217_A,598.1678631733404,6331
DRGA0005767_A,597.9627876678338,6331
ALGA0031834_T,597.9627876678338,6331
MARC0003440_G,597.9627876678338,6331
ALGA0054184_G,597.754029626147,6331
ALGA0098857_T,596.7690744639382,6331
H3GA0051580_T,596.6214633616794,6331
DIAS0002826_A,595.6962635287935,6331
ALGA0111390_G,595.1800099930492,6331
MARC0070964_A,594.9919767714784,6331
INRA0014636_T,594.882393477742,6331
MARC0085099_G,594.6827257527589,6331
DRGA0005727_C,594.5966225572456,6331
INRA0004582_C,594.3896869740145,6331
ALGA0007216_T,593.7305864858513,6331
ALGA0007194_T,593.3051645982573,6331
ALGA0111106_A,593.2545288385395,6331
MARC0055122_A,593.2541448287284,6331
INRA0019383_T,592.5477020439506,6331
H3GA0003037_A,592.3523805744126,6331
ASGA0082145_A,592.1460380126292,6331
INRA0029810_A,591.4233836846646,6331
MARC0085941_C,591.4233836846646,6331
H3GA0042159_G,591.1802361313094,6331
CASI0004330_G,591.1644488862479,6331
ALGA0036285_T,590.3299765281639,6331
DRGA0006108_G,589.6018314632281,6331
H3GA0016271_T,588.8950755391137,6331
MARC0076384_C,588.7465030790519,6331
MARC0053660_C,588.1609324729437,6331
H3GA0042267_G,587.5405995080132,6331
M1GA0005479_C,587.1386155393243,6331
DRGA0009628_C,587.0699388297783,6331
ALGA0085524_T,587.0212451455235,6331
